"Año";"NOMBRE_ESTANDAR";"deficit_total";"deficit_base";"share_deficit";"deficit_est";"hogares_deficit";"pob_bog";"share_pob";"poblacion_localidad";"hogares_localidad";"deficit_rate"
2015;"SUBA";205000;25665;0,096614265708994;19805,9244703438;7073,5444536942;7250675;0,13520968095236;980361,45343925;350129,090514018;0,0202026756568832
2015;"TEUSAQUILLO";205000;58;0,000218337323636145;44,7591513454096;15,9854111947892;7250675;0,0201649254721044;146209,32099745;52217,6146419466;0,000306130628608761
2015;"TUNJUELITO";205000;9694;0,0364924485401515;7480,95195073105;2671,76855383252;7250675;0,0269319660075906;195274,932632087;69741,0473686026;0,038309842691513
2015;"USAQUEN";205000;5650;0,021269066871452;4360,15870864766;1557,19953880274;7250675;0,0618543535824501;448485,815161431;160173,505414797;0,00972195454404336
2015;"USME";205000;24473;0,0921270572646098;18886,046739245;6745,0166925875;7250675;0,0442300671592973;320697,842200238;114534,943642942;0,0588904702622005
2016;"ANTONIO NARINO";2e+05;2116;0,00796554787610486;1593,10957522097;568,967705436062;7277543;0,0169826446785905;123591,926902164;44139,9738936299;0,0128900779780065
2016;"BARRIOS UNIDOS";2e+05;2227;0,00838340034030507;1676,68006806101;598,814310021791;7277543;0,0326155469228465;237361,045199533;84771,8018569762;0,00706383840975904
2016;"BOSA";2e+05;30077;0,113222960051799;22644,5920103597;8087,35428941419;7277543;0,0743726260671057;541249,984226282;193303,565795101;0,0418375846102429
2016;"CANDELARIA";2e+05;58;0,000218337323636145;43,6674647272289;15,5955231168675;7277543;0,00332264923832982;24180,7227058625;8635,97239495091;0,00180587922281752
2016;"CHAPINERO";2e+05;723;0,00272168767222298;544,337534444595;194,406262301641;7277543;0,0180760880417112;131549,507995339;46981,9671411925;0,00413789107036327
2016;"CIUDAD BOLIVAR";2e+05;47419;0,178505819819006;35701,1639638012;12750,4157013576;7277543;0,0841079674738597;612099,349933616;218606,910690577;0,0583257668345394
2016;"ENGATIVA";2e+05;17618;0,0663218442727861;13264,3688545572;4737,2745909133;7277543;0,117694917678824;856529,824289105;305903,50867468;0,015486172785129
2016;"FONTIBON";2e+05;6585;0,0247888151059312;4957,76302118625;1770,62965042366;7277543;0,0440834402487889;320819,131998492;114578,261428033;0,0154534518883043
