"Año","Mes","Nacionalidad","Codigo M49","Femenino","Masculino","Indefinido","Total","Ubicación PCM"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","4",,"4","(11.117806,-74.232622)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,251","1,720",,"2,971","(11.360009,-72.129330)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","1",,"3","(11.528919,-72.919681)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(12.5744111,-81.703935)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","8","7",,"15","(12.586067,-81.702563)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","35","51",,"86","(3.541112,-76.384584)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","2",,"3","(4.452882,-75.766298)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","4,184","5,545",,"9,729","(4.697144,-74.140516)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","21",,"23","(4.815061,-75.736532)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","321","396",,"717","(6.171601,-75.427454)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","13","14",,"27","(6.185799,-67.483929)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","41","82",,"123","(7.088729,-70.740253)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","8","17",,"25","(7.128456,-73.183637)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,299","1,506",,"2,805","(7.818934,-72.453226)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","256","300",,"556","(7.927209,-72.507910)"
"2012","Marzo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(8.635765,-77.346578)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","50","94",,"144","(0.814836,-77.662532)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(1.813928,-78.763924)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","7","20",,"27","(10.408582,-75.538003)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","14",,"14","(10.433609,-73.247863)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","112","222",,"334","(10.445761,-75.516429)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","35","53",,"88","(10.886611,-74.776708)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","2",,"3","(11.117806,-74.232622)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","3",,"3","(11.247723,-74.213989)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2,051","2,483",,"4,534","(11.360009,-72.129330)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","7","6",,"13","(11.528919,-72.919681)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","8","8",,"16","(12.586067,-81.702563)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","51","58",,"109","(3.541112,-76.384584)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","1",,"2","(4.452882,-75.766298)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5,067","5,746",,"10,813","(4.697144,-74.140516)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","17",,"18","(4.815061,-75.736532)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","243","312",,"555","(6.171601,-75.427454)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","28","45",,"73","(6.185799,-67.483929)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","47","47",,"94","(7.088729,-70.740253)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5","6",,"11","(7.128456,-73.183637)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,276","1,365",,"2,641","(7.818934,-72.453226)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","225","220",,"445","(7.927209,-72.507910)"
"2012","Abril","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(8.635765,-77.346578)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","40","60",,"100","(0.814836,-77.662532)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3","12",,"15","(10.408582,-75.538003)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","88","130",,"218","(10.445761,-75.516429)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","56","92",,"148","(10.886611,-74.776708)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(10.971302,-74.765397)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(11.247723,-74.213989)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,008","1,448",,"2,456","(11.360009,-72.129330)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","5",,"6","(11.528919,-72.919681)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","11","9",,"20","(12.586067,-81.702563)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","52","78",,"130","(3.541112,-76.384584)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(-4.197703,-69.941278)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3,812","5,305",,"9,117","(4.697144,-74.140516)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5","20",,"25","(4.815061,-75.736532)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","320","415",,"735","(6.171601,-75.427454)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","4",,"4","(6.185799,-67.483929)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","30","68",,"98","(7.088729,-70.740253)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","13","20",,"33","(7.128456,-73.183637)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","851","1,016",,"1,867","(7.818934,-72.453226)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","175","197",,"372","(7.927209,-72.507910)"
"2012","Mayo","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(8.635765,-77.346578)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","32","69",,"101","(0.814836,-77.662532)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","27",,"27","(10.408582,-75.538003)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","80","122",,"202","(10.445761,-75.516429)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","40","97",,"137","(10.886611,-74.776708)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","2",,"2","(11.247723,-74.213989)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,048","1,561",,"2,609","(11.360009,-72.129330)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3","1",,"4","(11.528919,-72.919681)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","11","11",,"22","(12.586067,-81.702563)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","39","50",,"89","(3.541112,-76.384584)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3,770","4,979",,"8,749","(4.697144,-74.140516)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3","13",,"16","(4.815061,-75.736532)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","292","362",,"654","(6.171601,-75.427454)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","7","4",,"11","(6.185799,-67.483929)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","59","110",,"169","(7.088729,-70.740253)"
